Name,Id,ExternalInfoId,LanguageType,Members
bombay bicycle club,198ffded-05ee-431b-975f-e6e972a59680,15604779,English,
bone thugs-n-harmony,c2502896-b5d2-4d60-9e49-e0c4f74d5341,261059,English,
boston symphony orchestra,e6601e0d-ac5a-4d52-bc0f-0b0b407bcd83,148265,English,
box of toys,ccfd9538-9bd5-4e4b-89ac-6ed3268406b6,35195712,English,
boy & bear,5fd196e1-7e48-4324-9dd0-fee2248dee58,27548031,English,
boy meets girl,61c55260-dc65-425c-8f68-8ad2ddb792a6,4127388,English,
bran van 3000,5085c7b0-510a-46d0-a22b-4e8ea02c6f7c,939983,English,
break of reality,544ed935-43bd-4d0d-8eeb-07fb68276e62,4735287,English,
brecker brothers,b0d4ea17-f1ed-4838-901d-1fe19cc40709,10548394,English,
bring me the horizon,3b3cdff8-6bf7-4b89-8ca3-b48f268f8ac7,7776260,English,
broadcast 2000,0b4e97e5-23af-4d1a-9cbd-898a8578f551,18922280,English,
brotherhood of man,0ed646aa-3858-4fd3-be14-e0d094485c5e,178843,English,
brothers in law,0a44593d-b34c-4dad-893a-65be66ba2266,31158367,English,
brothers johnson,cb03b9f9-8a20-4d05-b966-42bb1cfd1014,1030356,French,
brothers past,c53ce457-19f6-4acc-b36a-4ea643135484,8085283,English,
brussels jazz orchestra,be67f8e9-474d-4052-8167-57ff3a17d10a,1601701,English,
buck 65,88a2da1b-c380-4167-bac2-88ab8628c46f,517953,English,
buena vista social club,b62ddd5c-31c6-48d3-9c82-ff9494bccd0c,513544,English,
bugz in the attic,6854b88a-477e-4f7c-bbae-ab1e6c0ba0e8,1141902,English,
built by snow,ae5dd6ac-1eac-418d-8d20-6cffad3c65fc,23158222,English,
built to spill,c9059ad3-983b-4d97-94fc-05b656f5ad76,316309,English,
bullet for my valentine,05f5ff57-c261-4906-9f6b-167a71a9b6a9,2213065,English,
busty and the bass,b7d03269-abd1-45bb-b6e1-702b250ec925,55703697,English,
j.u.s.t.i.c.e. league,d21875ba-8ef1-49da-9646-816894bd271d,7334530,English,
canyon city,ac840992-5976-448e-baf2-85509c03d29d,1187250,English,
carl maria von weber,b5421a96-399c-4a30-8f3f-ced76cb585e2,45190,English,
carnival kids,95f03aee-006a-41a8-95e5-d5c3f8550012,53841002,English,
cary brothers,d4f8e70a-7421-4427-a027-32a9d51d0b3b,1837846,English,
catfish and the bottlemen,916bafd6-81a4-4d02-a669-b26746dd0116,42650577,English,
cats on trees,80713559-2842-4baa-a88f-cf402b3ed30c,41182513,English,
two-9,1ac5f5c9-6aa9-43d0-aaae-5f26c7fc3481,40893707,English,
chain of command,0c519b30-dba4-4081-a470-f5102358aa4f,8920104,German,
chali 2na,fa60a944-e070-4061-8935-435af9ecf7bb,2435125,English,
chamber,731d2d21-228a-4b0d-8f7c-ec3337506dc9,527015,English,
channel 3,db099318-286f-4cf1-86f0-ced4fa7fe338,1567853,English,
choir of young believers,83ed1eb1-1213-4488-b40c-720957cfa923,25486709,English,
christine and the queens,731c2203-1319-4811-afed-9a5fe498d741,42065772,English,
circle takes the square,12753fd6-29a2-4310-8c8a-d18d55b5f8bd,870078,English,
city,02820fa7-32f6-4541-ac11-60222760c1d0,5391,English,
city boy,3d571058-ed0e-4e17-ad6d-82d1c8fca285,34162814,English,
city of dreams,70ac5a9a-1528-4ced-843a-4422c6bccbf6,17007458,English,
city riots,e2256abf-d37f-40b5-9b4b-c0226de2dddd,27643701,English,
the clancy brothers,f9a45224-c900-44f1-9e61-ecdbc3dbae36,730521,English,
clap your hands say yeah,508ab7df-ffd0-45ce-b655-a0e76ad01734,2104999,English,
class 76,82385be2-7a12-4a80-be9a-a4cbae19d22b,20099674,English,
cleveland orchestra,2e44f031-6193-4ff2-9b3a-143ea060022a,148692,English,
climax blues band,322852f6-7d89-4d2f-b88f-22e8b44f234e,3860685,English,
closure in moscow,c0b2f010-6038-4c07-9a68-8636a7f9795e,17857383,English,
club,2b757396-6df2-4c3c-842e-770f762cc934,309136,English,
clue to kalo,0cb2ad52-245a-4d38-b4f0-5dc702f7a91e,21689889,English,
cocteau twins,33f3e891-f821-4435-a0f8-7adc469d9029,174846,English,
cold war kids,c53acfd2-9170-48a4-af54-9ad86b74addb,6266308,English,
collections of colonies of bees,9a2a41ba-586a-4ff3-8fec-d8095a679a5c,25405598,English,
columbia symphony orchestra,030d5897-e64b-4807-bc9f-e94fc621d943,150691,English,
comets on fire,93ad6c1b-4c3f-4b3f-8ece-dfba8c93d9af,3006616,English,
con brio,6fbbaf81-76e1-4a84-b11e-60e821319e13,23848284,English,
copacabana club,4498dc19-deb5-4437-a3ae-f151a3b21e30,2284676,Portuguese,
count basie orchestra,ecb8decc-8707-4257-a6bf-8afc3f400b37,3444751,English,
creature with the atom brain,a65025a1-83e7-41f2-96e3-0fabf5a45cc6,18366633,English,
"crosby, stills, nash & young",eda0fbd8-203a-4668-8549-22cfd70b74af,147353,English,
crown city rockers,5b190f00-44db-4d4a-aa4a-8611d2bcf28e,8255653,English,
culture club,47cff9a0-ecbf-4079-b257-787fffa325bc,154309,English,
current 93,2bcbd9c4-f5da-458d-8847-dff05180d25f,541262,English,
cut off your hands,ccf3c135-e443-4147-ad8e-65ca63efd4ce,11126945,English,
czech national symphony orchestra,c36d7459-285e-4f83-b282-d7814a2cd5e2,16248374,English,
daniel ellsworth & the great lakes,3d7b4c72-0720-4b4b-b4d8-96511ea5842b,36255625,English,
darlings of chelsea,fd58428c-e2fe-49fa-81ec-eebea369017f,23776917,English,
dave and ansell collins,3c0f422a-cc11-42c0-bbc4-ad26316c6915,4941527,English,
dave brubeck quartet,cf05edf6-7372-4843-a0ac-03aaf381e07b,3384302,German,
"dave dee, dozy, beaky, mick & tich",792945d4-bf42-4056-a0e9-ab4c5df24a4a,2677111,English,
dawn and hawkes,fa1cff6c-42be-40c5-a14a-b80a9bf44046,42041173,English,
dead boys,12b90ebc-656d-4dba-ac2d-3ff69db7ce2d,254310,English,
dead or alive,0edf287e-3626-42ae-9aa1-2ea876e643a9,2629824,Spanish,
dead to fall,6ae0ef43-cb40-4fe3-a5ed-02fa040ef205,2196255,English,
deadstring brothers,b10110a5-42b0-42ae-b6d4-5164e987b4e9,5164642,English,
dear and the headlights,12071444-9297-4939-bde3-c024a5d9b233,9283507,English,
death by unga bunga,2b7141b2-2f94-4e89-a82e-3afc53ca21a5,52841675,English,
death cab for cutie,caf07b9c-2b66-454a-a82e-8a3da099dfc2,594504,English,
death from above 1979,be511273-9148-4e90-a464-a7d0034823ce,194116,Swedish,
death in june,5094e5db-6eab-4b47-8679-177ba4460f9c,19869372,English,
death in the park,20f23986-2fd5-47b3-a630-5c5db6cad1ff,4631725,Spanish,
death is not a joyride,068aefdc-605d-452d-b2ee-6ca415b47234,22450385,English,
del the funky homosapien,75b66321-3837-456f-9542-4023e56615db,582456,English,
delaney & bonnie,8de939c3-776c-4616-b7af-1ca83a3125bf,2850259,English,
deltron 3030,36044787-ed7e-40e4-aa40-766caca5e463,582294,English,
department of eagles,8fd8edba-ded8-4f64-b28b-564a6b151368,10429287,English,
descartes a kant,280cff05-d538-4864-a13f-5304f883135e,6084810,Spanish,
dirty on purpose,fc4908f1-5564-4a58-a4f9-bcaa50745e21,9329218,English,
disco ensemble,0f64dbab-a690-4796-9e11-19730c40e7b9,7285967,English,
disco las palmeras!,cfb4a39e-a607-4d2a-a091-7630f6834868,6224192,Spanish,
dj jam master j'son,6452c34b-c62c-4c48-b294-1d1ce8491137,52733274,English,
do make say think,f0612a38-bae7-4282-91f3-7271d11836cf,18678797,English,
doctor and the medics,17fafb06-bcf0-41a3-8e98-989110cbdf0d,1883587,English,
downtown boys,3b4ed760-17b1-4379-8ec0-79c5be11b9f8,53104958,English,
drive-by truckers,a6287948-1cbd-46af-90ab-50de1882a003,1217798,English,
"drop dead, gorgeous",aaff84fb-8c34-4c5b-91ff-b30381560004,6102719,English,
drop trio,df54c02a-7519-4c4f-b33a-c588dd1a1711,11264198,English,
drums & tuba,6b3ff7cd-92c8-47e5-9ceb-13188aa56dd6,7976467,English,
dub trio,c93fdbd6-123b-4c33-b3fb-6af5588ef3cc,4756061,English,
dubious brothers,e58cc2d3-0084-41c2-890a-13b287b4c0c0,7327239,English,
dubioza kolektiv,f782ab74-aef1-4795-8f55-7f5d20555bb4,8274942,English,
"earth, wind & fire",4c05d607-86f6-4228-b163-cfbfa89cdf22,165915,English,
east 17,2baa05a0-c707-4701-a468-2b418d4e2437,902829,English,
echo & the bunnymen,e8877c65-0091-44a0-9e83-fd5029533add,168317,English,
ed schrader's music beat,9266f135-a6cd-4b6f-845c-d7318486ff55,43872949,English,
eiffel 65,ffeb14a1-cc2d-4e14-90b0-6fd8045fe015,237035,English,
el chicano,c3159ef4-ebcf-4615-8150-524193a26878,2342083,English,
el debarge,e1b28e36-19f9-47d5-a105-b470ad68a359,1689439,English,
el gallo,94587843-9a63-44fa-9aae-5c712c039343,32871759,English,
el michels affair,d5411cad-4d7f-445d-bcaa-f1f58d74386b,57381617,English,
el mundo,e860ccb1-0dcc-4d0b-bf26-90eadf1f387d,539680,English,
el tambor de la tribu,9fa5f5c2-156e-4bfa-b265-f885dba0e894,5865090,Spanish,
el ten eleven,a4a5cf15-7262-4bcb-b2a1-74d92e34d44e,6402690,English,
el tule,ff6c360d-b07a-4034-9498-abcedef1e04e,5316509,English,
elastic band,66dbfbfc-cad9-4ef6-8b38-f9d262495fc1,8341116,Spanish,
electric light orchestra,448e8e10-6784-4db6-80bb-e19d36a33a07,10484,English,
element of crime,8aee8899-a688-41eb-a804-19303ea331bf,9711233,English,
"emerson, lake & palmer",6e1232f2-a529-46a9-b819-f8cd57b8f089,52725,English,
empire of the sun,39587b20-a686-4011-b906-edc2a33d35f3,306530,English,
end of fashion,5cdc69f5-a6a4-4f86-b5ab-f31fd720d188,2211358,English,
energy 52,8cecd906-7ccd-4a2d-bbd1-5b976c240937,4074732,English,
ensemble dal niente,a019d2bc-a175-4628-a4d0-c604d30152e8,47403684,English,
ever we fall,2c68a1b6-e1cd-4492-95f3-a76ed50ad896,14429046,English,
everything but the girl,c04fbf64-4787-4c4e-adbc-9c17e12200d7,957566,English,
explosions in the sky,c5dd2467-a4b3-4593-8f00-7fc1c1ae8131,773690,English,
eyes of love,21b549b8-6abd-4929-b30b-e3bebd37b5fd,54622065,English,
f for fake,17175543-1561-46d8-9ef6-4c671b4ad42d,1492011,English,
f&f,c77c1fe3-fedc-4a88-9e95-80888bfd53c1,11187740,English,
f&m,081f7fb9-d233-4231-a772-a180ae212cbf,727322,English,
fair to midland,e5c17cc8-22a0-4663-b046-2ed6ed93aa2a,7738136,English,
family of the year,ce091720-4378-415b-b6b6-512dd1dba77c,26329292,English,
family tree,5a2034b0-6e2e-40be-84c2-0e9def92e0ea,169269,English,
fat les,df33b704-a377-4f0e-8dd9-4b21f6361e52,1002553,English,
fat white family,ee6c7b89-04d0-4172-81cb-fe056e486e89,49218031,English,
fear of men,909257b6-c62a-4852-90c0-8bcb1fb79425,42968012,English,
fields of the nephilim,43d486fa-d523-4894-b3f3-1a38b5ab5e89,174383,English,
fighting with wire,820f4995-5a48-4b32-92f4-5d10da16aec4,10937541,English,
fishtank ensemble,0c49027f-480a-4fa5-b065-edc067147a98,3327503,English,
fki 1st,a0c34f6f-fba6-401e-b0b6-589b68800cff,54415034,English,
