Name,Id,ExternalInfoId,Members
deadstring brothers,b10110a5-42b0-42ae-b6d4-5164e987b4e9,5164642,"     = Kurt Marschke;        = Peter Ballard; Phil Durr; Eric Hoegemeyer; Aric Karpinski; William King; Jason Lucia; Paul Hatchett; Jeff Cullum; JD Mack; John Merchant; Spencer Cullum; Pat Kenneally; E. Travis Harrett; Michael Farmer; Masha Marjieh; Mike Lawrence; Philip Skarich; Ross Westerbur; F Scott Kenny; Matt Wise; Ben Lancaster;Nathan Kalish"
dear and the headlights,12071444-9297-4939-bde3-c024a5d9b233,9283507,"       = Ian Metzger;Robert Cissel;P.J. Waxman;Patrick Taylor;Mark Kulvinskas;Joel Marquard;Chuckie Duff"
death by unga bunga,2b7141b2-2f94-4e89-a82e-3afc53ca21a5,52841675," = *Sebastian Ulstad Olsen ;    = "
death cab for cutie,caf07b9c-2b66-454a-a82e-8a3da099dfc2,594504,"  = {{plainlist;     = {{plainlist"
death in june,5094e5db-6eab-4b47-8679-177ba4460f9c,19869372," = [[Douglas P.]]; = [[Patrick Leagas]];[[Tony Wakeford]];[[David Tibet]];[[Boyd Rice]];[[John Murphy ;musician;John Murphy]]"
death is not a joyride,068aefdc-605d-452d-b2ee-6ca415b47234,22450385," = Lionel Gonzalez;Andrew Noble;Joseph Salazar;  = Kacy Ritter;John Gouda"
deltron 3030,36044787-ed7e-40e4-aa40-766caca5e463,582294,"     = [[Dan the Automator]];[[Del the Funky Homosapien]];[[Kid Koala]];        = "
department of eagles,8fd8edba-ded8-4f64-b28b-564a6b151368,10429287,"     = [[Daniel Rossen]];Fred Nicolaus;        ="
dirty on purpose,fc4908f1-5564-4a58-a4f9-bcaa50745e21,9329218," = Doug Marvin;Joseph Jurewicz;George Wilson;DJ Boudreau;Erika Forster"
disco ensemble,0f64dbab-a690-4796-9e11-19730c40e7b9,7285967,"     = Miikka Koivisto - Vocals & Keyboards;Jussi Ylikoski - Guitar & Backing Vocals;Mikko Hakila - Drums;Lasse Lindfors - Bass}}"
do make say think,f0612a38-bae7-4282-91f3-7271d11836cf,18678797,"     = [[Ohad Benchetrit]];David Mitchell;James Payment;Justin Small;[[Charles Spearin]];[[Julie Penner]];Jay Baird;Brian Cram;        = Jason Mackenzie"
doctor and the medics,17fafb06-bcf0-41a3-8e98-989110cbdf0d,1883587," = The Doctor;Adrian Hill;Dan Angelow;John Randle;Melissa; = Steve McGuire;[[Richard Searle]];Andrew McLachlan;Steve ""Vom"" Ritchie;Wendi Anadin;Colette Anadin;Carl Axon;James Hartley"
drive-by truckers,a6287948-1cbd-46af-90ab-50de1882a003,1217798,"     = [[Patterson Hood]];[[Mike Cooley ;American musician;Mike Cooley]];Brad Morgan;Jay Gonzalez;Matt Patton;        = [[Jason Isbell]];[[Spooner Oldham]];[[John Neff ;Musician;John Neff]];[[Shonna Tucker]];Earl Hicks;Rob Malone;Matt Lane;Adam Howell;Barry Sell}}"
drop trio,df54c02a-7519-4c4f-b33a-c588dd1a1711,11264198," = Ian Varley; Michael Blattel; Patrick Flanagan;     = Nino Batista; Marc Reczek"
dub trio,c93fdbd6-123b-4c33-b3fb-6af5588ef3cc,4756061," = [[Stu Brooks]];DP Holmes;Joe Tomino; = "
